x,y,z,yaw,pitch,roll
-0.70,-2.80,0.90,-155.07,7.94,-8.50
-0.70,-2.80,0.90,-83.07,0.94,11.50
-0.70,-2.80,0.90,-119.07,0.94,-3.50
-0.70,-2.80,0.90,60.93,7.94,-13.50
-0.70,-2.80,0.90,96.93,0.94,11.50
-0.70,-2.80,0.90,60.93,-9.06,-13.50
-0.70,-2.80,0.90,24.93,0.94,-8.50
-0.70,-2.80,0.90,168.93,-9.06,-8.50
-0.70,-2.80,0.90,-47.07,0.94,-8.50
-0.70,-2.80,0.90,132.93,0.94,6.50
-0.70,-2.80,0.90,-155.07,14.94,-13.50
-0.70,-2.80,0.90,132.93,0.94,1.50
-0.70,-2.80,0.90,132.93,14.94,-13.50
-0.70,-2.80,0.90,-47.07,-16.06,11.50
-0.70,-2.80,0.90,-155.07,-9.06,-8.50
-0.70,-2.80,0.90,24.93,14.94,11.50
-0.70,-2.80,0.90,-83.07,14.94,-8.50
-0.70,-2.80,0.90,-47.07,0.94,6.50
-0.70,-2.80,0.90,-11.07,14.94,6.50
-0.70,-2.80,0.90,-119.07,7.94,1.50
-0.70,-2.80,0.90,-11.07,7.94,1.50
-0.70,-2.80,0.90,-11.07,-16.06,-13.50
-0.70,-2.80,0.90,168.93,0.94,6.50
-0.70,-2.80,0.90,132.93,0.94,-8.50
-0.70,-2.80,0.90,-155.07,0.94,-8.50
-0.70,-2.80,0.90,60.93,0.94,11.50
-0.70,-2.80,0.90,96.93,7.94,6.50
-0.70,-2.80,0.90,-119.07,-16.06,1.50
-0.70,-2.80,0.90,-11.07,14.94,-8.50
-0.70,-2.80,0.90,168.93,0.94,-8.50
-0.70,-2.80,0.90,132.93,-9.06,11.50
-0.70,-2.80,0.90,-83.07,-16.06,6.50
-0.70,-2.80,0.90,96.93,-9.06,-3.50
-0.70,-2.80,0.90,24.93,0.94,-3.50
-0.70,-2.80,0.90,168.93,14.94,1.50
-0.70,-2.80,0.90,-47.07,0.94,11.50
-0.70,-2.80,0.90,-83.07,14.94,-13.50
-0.70,-2.80,0.90,-119.07,-16.06,-13.50
-0.70,-2.80,0.90,168.93,7.94,11.50
-0.70,-2.80,0.90,-11.07,-16.06,11.50
-0.70,-2.80,0.90,-47.07,-9.06,6.50
